Entry_Number,Description,Category,Weight_g,Location,Page
Entry-10-32,"Cannabis, Schedule I, against the peace, government and dignity ofthe State.",Flower,,,10
Entry-10-33,"common nuisance, to wit: a Building for the illegal distribution a Controlled Dangerous",Preroll,,,10
Entry-10-34,"Substance, to wit: Cannabis, Schedule I, against the peace, government and dignity ofthe State.",Flower,,,10
Entry-11-35,"nuisance, to wit: a Building for the illegal distribution a Controlled Dangerous Substance, to wit:",Preroll,,,11
Entry-11-36,"Cannabis, Schedule I, against the peace, government and dignity ofthe State.",Flower,,,11
Entry-11-37,"common nuisance, to wit: a Building for the illegal distribution a Controlled Dangerous",Preroll,,,11
Entry-11-38,"Substance, to wit: Cannabis, Schedule I, against the peace, governmentand dignity ofthe State.",Flower,,,11
Entry-11-39,"common nuisance, to wit: a Building for the illegal distribution a Controlled Dangerous",Preroll,,,11
Entry-11-40,"Substance, to wit: Cannabis, Schedule I, against the peace, government and dignity ofthe State.",Flower,,,11
Entry-12-41,"kilograms ofCannabis, against the peace, government and dignity ofthe State.",Flower,,,12
Entry-12-42,(CDS:IMPORT 5-45 KILO CANNABIS - CR.5.614.(b) - 1 0730),Flower,,,12
Entry-12-43,"County aforesaid, unlawfully did possess a contro11ed dangerous substance ofSchedule I, to wit:",Ambiguous,,,12
Entry-12-44,"Psilocybin, in sufficient quantity to indicate an intent to distribute suchcontrolled dangerous",Preroll,,,12
Entry-12-45,"substance, against the peace, governmentand dignity ofthe State.",Ambiguous,,,12
Entry-12-46,Cannabis in sufficient quantity to reasonably indicate under all circumstances an intent to,Flower,,,12
Entry-12-47,"distribute said Cannabis, against the peace, government and dignity ofthe State.",Flower,,,12
l 1692,(Cds Poss W/Int Dist-Cannabis- CR.5.602.(b) l 1692),Flower,,,12
Entry-13-49,"Employees, to distribute acontrolled dangerous substance ofSchedule 1, to wit: Cannabis,",Flower,,,13
Entry-13-50,"distribute acontrolled dangerous substanceofSchedule I, to wit: Cannabis, against the peace,",Flower,,,13
Entry-13-51,"distribute a controlled dangerous substance ofSchedule 1, to wit: Cannabis, against the peace,",Flower,,,13
